,ds,y
1018,2012-10-15,530
1019,2012-10-16,429
1020,2012-10-17,462
1021,2012-10-18,542
1022,2012-10-19,640
1023,2012-10-20,630
1024,2012-10-21,462
1025,2012-10-22,401
1026,2012-10-23,409
1027,2012-10-24,310
1028,2012-10-25,424
1029,2012-10-26,431
1030,2012-10-27,469
1031,2012-10-28,352
1032,2012-10-29,233
1033,2012-10-30,267
1034,2012-10-31,422
1035,2012-11-01,291
1036,2012-11-02,246
1037,2012-11-03,318
1038,2012-11-04,302
1039,2012-11-05,160
1040,2012-11-06,149
1041,2012-11-07,135
1042,2012-11-08,159
1043,2012-11-09,150
1044,2012-11-10,223
1045,2012-11-11,243
1046,2012-11-12,163
1047,2012-11-13,96
1048,2012-11-14,116
1049,2012-11-15,155
1050,2012-11-16,158
1051,2012-11-17,102
1052,2012-11-18,126
1053,2012-11-19,93
1054,2012-11-20,81
1055,2012-11-21,59
1056,2012-11-22,73
1057,2012-11-23,94
1058,2012-11-24,88
1059,2012-11-25,97
1060,2012-11-26,67
1061,2012-11-27,41
1062,2012-11-28,62
1063,2012-11-29,74
1064,2012-11-30,49
1065,2012-12-01,68
1066,2012-12-02,42
1067,2012-12-03,29
1068,2012-12-04,35
1069,2012-12-05,31
1070,2012-12-06,65
1071,2012-12-07,61
1072,2012-12-08,150
1073,2012-12-09,107
1074,2012-12-10,45
1075,2012-12-11,50
1076,2012-12-12,30
1077,2012-12-13,47
1078,2012-12-14,39
1079,2012-12-15,55
1080,2012-12-16,27
1081,2012-12-17,26
1082,2012-12-18,29
1083,2012-12-19,15
1084,2012-12-20,13
1085,2012-12-21,96
1086,2012-12-22,28
1087,2012-12-23,45
1088,2012-12-24,26
1089,2012-12-25,10
1090,2012-12-26,33
1091,2012-12-27,14
1092,2012-12-28,20
1093,2012-12-29,36
1094,2012-12-30,101
1095,2012-12-31,110
1096,2013-01-01,40
1097,2013-01-02,50
1098,2013-01-03,33
1099,2013-01-04,39
1100,2013-01-05,40
1101,2013-01-06,26
1102,2013-01-07,19
1103,2013-01-08,23
1104,2013-01-09,23
1105,2013-01-10,17
1106,2013-01-11,30
1107,2013-01-12,22
1108,2013-01-13,18
1109,2013-01-14,39
1110,2013-01-15,15
1111,2013-01-16,26
1112,2013-01-17,22
1113,2013-01-18,31
1114,2013-01-19,15
1115,2013-01-20,19
1116,2013-01-21,20
1117,2013-01-22,18
1118,2013-01-23,12
1119,2013-01-24,19
1120,2013-01-25,39
1121,2013-01-26,14
1122,2013-01-27,27
1123,2013-01-28,17
1124,2013-01-29,35
1125,2013-01-30,31
1126,2013-01-31,27
1127,2013-02-01,86
1128,2013-02-02,50
1129,2013-02-03,8
1130,2013-02-04,26
1131,2013-02-05,27
1132,2013-02-06,24
1133,2013-02-07,35
1134,2013-02-08,50
1135,2013-02-09,36
1136,2013-02-10,21
1137,2013-02-11,86
1138,2013-02-12,103
1139,2013-02-13,50
1140,2013-02-14,139
1141,2013-02-15,84
1142,2013-02-16,38
1143,2013-02-17,46
1144,2013-02-18,23
1145,2013-02-19,45
1146,2013-02-20,27
1147,2013-02-21,31
1148,2013-02-22,51
1149,2013-02-23,42
1150,2013-02-24,34
1151,2013-02-25,42
1152,2013-02-26,36
1153,2013-02-27,118
1154,2013-02-28,24
1155,2013-03-01,81
1156,2013-03-02,101
1157,2013-03-03,39
1158,2013-03-04,20
1159,2013-03-05,32
1160,2013-03-06,105
1161,2013-03-07,60
1162,2013-03-08,61
1163,2013-03-09,59
1164,2013-03-10,41
1165,2013-03-11,45
1166,2013-03-12,65
1167,2013-03-13,34
1168,2013-03-14,99
1169,2013-03-15,110
1170,2013-03-16,126
1171,2013-03-17,119
1172,2013-03-18,149
1173,2013-03-19,121
1174,2013-03-20,143
1175,2013-03-21,226
1176,2013-03-22,476
1177,2013-03-23,174
1178,2013-03-24,246
1179,2013-03-25,176
1180,2013-03-26,464
1181,2013-03-27,632
1182,2013-03-28,668
1183,2013-03-29,833
1184,2013-03-30,946
1185,2013-03-31,777
1186,2013-04-01,440
1187,2013-04-02,273
1188,2013-04-03,274
1189,2013-04-04,333
1190,2013-04-05,593
1191,2013-04-06,475
1192,2013-04-07,374
1193,2013-04-08,242
1194,2013-04-09,185
1195,2013-04-10,200
1196,2013-04-11,292
1197,2013-04-12,324
1198,2013-04-13,284
1199,2013-04-14,262
1200,2013-04-15,172
1201,2013-04-16,198
1202,2013-04-17,247
1203,2013-04-18,309
1204,2013-04-19,401
1205,2013-04-20,362
1206,2013-04-21,335
1207,2013-04-22,323
1208,2013-04-23,360
1209,2013-04-24,329
1210,2013-04-25,446
1211,2013-04-26,659
1212,2013-04-27,921
1213,2013-04-28,735
1214,2013-04-29,614
1215,2013-04-30,570
1216,2013-05-01,652
1217,2013-05-02,877
1218,2013-05-03,814
1219,2013-05-04,1057
1220,2013-05-05,1015
1221,2013-05-06,513
1222,2013-05-07,535
1223,2013-05-08,783
1224,2013-05-09,654
1225,2013-05-10,881
1226,2013-05-11,802
